"filename","plate_text","x","y","w","h","legality","plate_type","notes"
"0001.jpg","","7","4","87","36","legal","common","auto_yolo;conf=0.1314"
"0002.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0003.jpg","","19","4","79","35","legal","common","auto_yolo;conf=0.0207"
"0004.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0005.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0006.jpg","","0","12","87","34","legal","common","auto_yolo;conf=0.0201"
"0007.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0008.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0009.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0010.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0011.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0012.jpg","","45","7","79","37","legal","common","auto_yolo;conf=0.0427"
"0013.jpg","","0","17","84","28","legal","common","auto_yolo;conf=0.1172"
"0014.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0015.jpg","","3","16","81","26","legal","common","auto_yolo;conf=0.0507"
"0016.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0017.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0018.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0019.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0020.jpg","","34","12","90","30","legal","common","auto_yolo;conf=0.1088"
"0021.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0022.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0023.jpg","","37","2","88","40","legal","common","auto_yolo;conf=0.0161"
"0024.jpg","","0","16","89","25","legal","common","auto_yolo;conf=0.1624"
"0025.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0026.jpg","","13","13","83","30","legal","common","auto_yolo;conf=0.5966"
"0027.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0028.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0029.jpg","","71","7","57","35","legal","common","auto_yolo;conf=0.0253"
"0030.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0031.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0032.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0033.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0034.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0035.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0036.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0037.jpg","","6","12","86","29","legal","common","auto_yolo;conf=0.1705"
"0038.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0039.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0040.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
