filename,plate_text,x,y,w,h,legality,plate_type,notes
0001.jpg,,7,4,87,36,legal,common,auto_yolo;conf=0.1314;auto_rule=color=green;ratio=2.42
0002.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0003.jpg,,19,4,79,35,legal,common,auto_yolo;conf=0.0207;auto_rule=color=blue;ratio=2.26
0004.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0005.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0006.jpg,,0,12,87,34,legal,common,auto_yolo;conf=0.0201;auto_rule=color=green;ratio=2.56
0007.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0008.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0009.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0010.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0011.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0012.jpg,,45,7,79,37,legal,common,auto_yolo;conf=0.0427;auto_rule=color=green;ratio=2.14
0013.jpg,,0,17,84,28,legal,common,auto_yolo;conf=0.1172;auto_rule=color=green;ratio=3.00
0014.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0015.jpg,,3,16,81,26,legal,common,auto_yolo;conf=0.0507;auto_rule=color=green;ratio=3.12
0016.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0017.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0018.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0019.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0020.jpg,,34,12,90,30,legal,common,auto_yolo;conf=0.1088;auto_rule=color=green;ratio=3.00
0021.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0022.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0023.jpg,,37,2,88,40,illegal,illegal,auto_yolo;conf=0.0161;auto_rule=very_low_conf
0024.jpg,,0,16,89,25,legal,common,auto_yolo;conf=0.1624;auto_rule=color=green;ratio=3.56
0025.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
0026.jpg,,13,13,83,30,legal,common,auto_yolo;conf=0.5966;auto_rule=color=green;ratio=2.77
0027.jpg,,0,0,0,0,illegal,illegal,no_det;conf=0.0000;auto_rule=no_bbox
