filename,plate_text,x,y,w,h,notes
0002.jpg,皖A·D66178,212,467,59,22,ccpd_tilt=90_90
0003.jpg,皖A·D32818,341,550,66,23,ccpd_tilt=90_90
0004.jpg,皖A·F01060,240,542,75,22,ccpd_tilt=89_265
0005.jpg,皖A·D67887,311,542,74,27,ccpd_tilt=90_267
0006.jpg,皖A·DB0129,333,534,74,26,ccpd_tilt=92_264
0007.jpg,皖A·D56789,315,502,78,25,ccpd_tilt=90_262
0008.jpg,皖A·DB3289,310,567,82,28,ccpd_tilt=91_264
0009.jpg,皖A·F08872,360,505,75,32,ccpd_tilt=91_265
0010.jpg,皖A·D18899,283,513,79,30,ccpd_tilt=93_90
0011.jpg,皖A·D11055,371,537,65,38,ccpd_tilt=90_90
0012.jpg,皖A·D49333,259,553,87,31,ccpd_tilt=89_90
0013.jpg,皖A·D57568,351,469,87,31,ccpd_tilt=90_263
0014.jpg,皖A·D62208,351,571,88,30,ccpd_tilt=85_262
0015.jpg,皖A·F07000,377,550,62,44,ccpd_tilt=89_267
0016.jpg,皖A·D50004,149,574,96,28,ccpd_tilt=88_90
0017.jpg,皖A·D56999,332,559,93,31,ccpd_tilt=90_263
0018.jpg,皖A·D49166,261,506,95,32,ccpd_tilt=90_268
0019.jpg,皖A·D18116,260,549,97,32,ccpd_tilt=90_267
0020.jpg,皖A·D53988,280,509,71,44,ccpd_tilt=89_263
0021.jpg,皖A·D49385,376,518,89,35,ccpd_tilt=89_267
0022.jpg,皖A·D99999,394,576,86,37,ccpd_tilt=101_277
0023.jpg,皖A·D48959,293,530,93,35,ccpd_tilt=87_268
0024.jpg,皖A·D01116,298,576,96,34,ccpd_tilt=91_267
0025.jpg,皖A·DB2856,289,500,98,34,ccpd_tilt=89_266
0026.jpg,皖A·D18577,304,485,102,33,ccpd_tilt=90_264
0027.jpg,皖A·D57566,229,542,93,36,ccpd_tilt=91_269
0028.jpg,皖A·D19618,308,550,96,35,ccpd_tilt=92_267
0029.jpg,皖A·D67887,333,560,91,39,ccpd_tilt=92_268
0030.jpg,皖A·D01668,329,547,108,34,ccpd_tilt=91_90
0031.jpg,皖A·F02822,275,563,111,34,ccpd_tilt=90_258
0032.jpg,皖A·DB2676,282,287,99,39,ccpd_tilt=94_272
0033.jpg,皖A·D11166,291,474,99,42,ccpd_tilt=86_270
0034.jpg,皖A·D47488,393,496,88,48,ccpd_tilt=86_269
