epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,836.11,0.82319,0.51189,1.19925,0.99512,0.974,0.9941,0.78125,0.88339,0.49999,1.30918,0.000665485,0.000665485,0.000665485
2,1807.44,0.83182,0.50965,1.21052,0.98782,0.9734,0.9921,0.78878,0.81617,0.50789,1.25204,0.00120027,0.00120027,0.00120027
3,745.025,0.79768,0.48862,1.16742,0.99353,0.976,0.98944,0.81738,0.73747,0.45282,1.20698,0.00160305,0.00160305,0.00160305
4,1387.58,0.7555,0.46327,1.1296,0.99196,0.98759,0.99429,0.83699,0.69529,0.40569,1.13141,0.001406,0.001406,0.001406
5,2173.36,0.71349,0.42122,1.08667,0.99395,0.98574,0.99429,0.83581,0.65602,0.39836,1.09125,0.001208,0.001208,0.001208
6,2960.55,0.6742,0.39911,1.04839,0.98594,0.988,0.99429,0.85572,0.6462,0.3797,1.08389,0.00101,0.00101,0.00101
7,3820.59,0.64753,0.37627,1.03154,0.99399,0.99214,0.99488,0.87091,0.57772,0.34858,1.03656,0.000812,0.000812,0.000812
8,4671.91,0.61804,0.34994,1.00736,0.99197,0.98879,0.99478,0.86815,0.57875,0.33864,1.0227,0.000614,0.000614,0.000614
9,5415.33,0.5893,0.33369,0.98493,0.99004,0.99399,0.99484,0.89299,0.52826,0.30393,0.99098,0.000416,0.000416,0.000416
10,6208.9,0.56174,0.31352,0.96561,0.98946,0.998,0.99476,0.89994,0.5138,0.29228,0.97658,0.000218,0.000218,0.000218
