epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.07,1.2332,1.67073,1.87758,0.51018,0.74333,0.65732,0.43306,1.08934,1.24313,1.8848,0.000474235,0.000474235,0.000474235
2,753.743,1.23417,1.62297,1.8714,0.47162,0.70933,0.60601,0.41833,1.09132,1.36075,1.94084,0.0009192,0.0009192,0.0009192
3,1186.08,1.22263,1.59372,1.86447,0.63995,0.68567,0.66768,0.41931,1.2536,1.24799,2.13595,0.00133273,0.00133273,0.00133273
4,1625.13,1.24277,1.59331,1.86971,0.49848,0.69588,0.60245,0.41206,1.12907,1.2351,2.00014,0.00128753,0.00128753,0.00128753
5,2074.83,1.21996,1.52851,1.86796,0.60847,0.64297,0.67495,0.48425,1.10529,1.14719,1.98244,0.00124037,0.00124037,0.00124037
6,2543.37,1.21274,1.52346,1.85315,0.46101,0.80699,0.60918,0.37698,1.22386,1.25912,2.06034,0.00119322,0.00119322,0.00119322
7,2978.49,1.18751,1.48254,1.83077,0.50285,0.8046,0.65114,0.44605,1.05571,1.14816,1.90517,0.00114606,0.00114606,0.00114606
8,3331.52,1.17496,1.46508,1.81837,0.49019,0.68206,0.64128,0.44479,1.08184,1.15897,1.94614,0.0010989,0.0010989,0.0010989
9,3645.92,1.17215,1.46207,1.81886,0.50265,0.71475,0.6413,0.43004,1.08179,1.20978,1.9105,0.00105174,0.00105174,0.00105174
10,3926.27,1.14579,1.39687,1.78431,0.46173,0.85326,0.62438,0.41444,1.09894,1.26625,1.9284,0.00100459,0.00100459,0.00100459
11,4210.46,1.14275,1.42043,1.78878,0.53741,0.79885,0.67927,0.47012,1.14004,1.1626,1.95667,0.00095743,0.00095743,0.00095743
12,4488.85,1.13692,1.37447,1.77773,0.49303,0.6468,0.61929,0.40483,1.09126,1.26427,1.93745,0.000910273,0.000910273,0.000910273
13,4766.56,1.1203,1.3476,1.75746,0.50894,0.79219,0.64039,0.42661,1.04244,1.1392,1.89779,0.000863116,0.000863116,0.000863116
14,5055.43,1.10811,1.35193,1.7526,0.50019,0.81078,0.69562,0.45898,1.10108,1.19646,1.88982,0.000815959,0.000815959,0.000815959
15,5293.21,1.09675,1.33297,1.72872,0.55388,0.71434,0.66286,0.47179,1.04199,1.0788,1.88321,0.000768802,0.000768802,0.000768802
16,5530.28,1.09902,1.30926,1.72414,0.60854,0.78711,0.71408,0.46757,1.13043,1.11335,2.00845,0.000721645,0.000721645,0.000721645
17,5765.56,1.07378,1.27872,1.71012,0.54881,0.86513,0.66908,0.45709,1.01263,1.06625,1.83965,0.000674488,0.000674488,0.000674488
18,6001.14,1.04254,1.25033,1.68334,0.53992,0.80703,0.67968,0.46024,1.08523,1.07614,1.9236,0.000627331,0.000627331,0.000627331
19,6235.43,1.05758,1.26493,1.6949,0.65882,0.72636,0.74168,0.47555,1.10045,1.07855,1.92041,0.000580174,0.000580174,0.000580174
20,6469.71,1.03082,1.24235,1.66926,0.52637,0.71513,0.6655,0.46956,0.99648,1.06802,1.84592,0.000533017,0.000533017,0.000533017
21,6699.55,0.96736,1.05132,1.48676,0.60276,0.68755,0.71565,0.48973,1.03453,1.03634,1.86684,0.00048586,0.00048586,0.00048586
22,6930.72,0.94848,0.98936,1.43895,0.60329,0.7181,0.6861,0.46391,1.03766,1.12773,1.90115,0.000438703,0.000438703,0.000438703
23,7161.67,0.92948,0.97049,1.44384,0.71973,0.70445,0.78059,0.46594,1.28215,1.07556,2.27378,0.000391546,0.000391546,0.000391546
24,7392.2,0.89847,0.94342,1.41116,0.65752,0.70008,0.69884,0.4765,1.08965,1.08499,1.98593,0.000344389,0.000344389,0.000344389
25,7623.07,0.87995,0.90407,1.38283,0.70965,0.64029,0.73704,0.51841,1.09342,1.01829,2.01953,0.000297232,0.000297232,0.000297232
26,7854.96,0.85901,0.88606,1.35916,0.51249,0.80208,0.7158,0.46186,1.07111,1.08317,2.03555,0.000250075,0.000250075,0.000250075
27,8087.08,0.84744,0.88485,1.35707,0.63717,0.73436,0.73475,0.46345,1.21156,1.0496,2.27276,0.000202918,0.000202918,0.000202918
28,8318.37,0.83825,0.86144,1.33751,0.6417,0.74569,0.74905,0.48763,1.13643,0.98137,2.07735,0.000155761,0.000155761,0.000155761
29,8549.33,0.83396,0.8524,1.32226,0.71455,0.64438,0.73898,0.48852,1.10913,0.99989,2.08307,0.000108604,0.000108604,0.000108604
30,8781.28,0.80593,0.8174,1.31617,0.61419,0.68411,0.72833,0.47859,1.16067,1.01166,2.20781,6.1447e-05,6.1447e-05,6.1447e-05
