epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.813,1.16868,1.37792,1.85755,0.55378,0.69187,0.69231,0.46826,1.24893,1.01862,2.07804,0.000474235,0.000474235,0.000474235
2,899.961,1.14753,1.30887,1.8205,0.55237,0.87637,0.74798,0.47986,1.22597,1.03654,2.10667,0.0009192,0.0009192,0.0009192
3,1357.92,1.13195,1.31379,1.7985,0.56579,0.82703,0.69733,0.44113,1.34825,1.08732,2.24771,0.00133273,0.00133273,0.00133273
4,1822.68,1.15041,1.32433,1.81607,0.61639,0.72524,0.66735,0.45422,1.15805,1.00495,2.03574,0.00128753,0.00128753,0.00128753
5,2297.82,1.12953,1.30354,1.80351,0.54289,0.74478,0.66523,0.43559,1.2563,1.0769,2.06716,0.00124037,0.00124037,0.00124037
6,2715.23,1.10555,1.28041,1.77898,0.68281,0.76583,0.74764,0.50519,1.18784,1.02427,2.0069,0.00119322,0.00119322,0.00119322
7,3023.91,1.10956,1.26234,1.78663,0.50891,0.82252,0.66641,0.45808,1.09953,1.11122,1.90365,0.00114606,0.00114606,0.00114606
8,3335.53,1.10475,1.26342,1.77655,0.52094,0.74863,0.66684,0.45935,1.25507,1.09122,2.14391,0.0010989,0.0010989,0.0010989
9,3646.58,1.10421,1.23094,1.77542,0.56657,0.85042,0.70683,0.43322,1.4136,1.11504,2.45632,0.00105174,0.00105174,0.00105174
10,3953.2,1.08138,1.20445,1.75147,0.47197,0.857,0.67848,0.42582,1.215,1.03473,2.08408,0.00100459,0.00100459,0.00100459
11,4258.37,1.07505,1.1999,1.74697,0.54551,0.85375,0.71068,0.49326,1.14558,1.0485,2.01335,0.00095743,0.00095743,0.00095743
12,4634.37,1.07647,1.20479,1.75605,0.71212,0.62522,0.67932,0.46758,1.10904,1.03298,1.92483,0.000910273,0.000910273,0.000910273
13,5079.53,1.0675,1.19225,1.73376,0.57391,0.84038,0.66264,0.43606,1.19488,1.00639,2.03734,0.000863116,0.000863116,0.000863116
14,5522.54,1.05716,1.18479,1.73347,0.60804,0.75186,0.66722,0.44866,1.17416,1.04356,2.02208,0.000815959,0.000815959,0.000815959
15,5962.38,1.04794,1.17828,1.71034,0.49655,0.81965,0.63065,0.43783,1.15813,1.0159,1.95497,0.000768802,0.000768802,0.000768802
16,6403.25,1.04544,1.1538,1.70724,0.57197,0.82291,0.74832,0.51637,1.14376,1.02066,1.97589,0.000721645,0.000721645,0.000721645
17,6842.31,1.03215,1.14256,1.69823,0.5862,0.78105,0.72273,0.52248,1.07074,0.98657,1.8912,0.000674488,0.000674488,0.000674488
18,7283.08,1.0063,1.13004,1.67335,0.64207,0.78575,0.75973,0.52687,1.17119,1.03348,2.01888,0.000627331,0.000627331,0.000627331
19,7721.5,1.02,1.11635,1.68773,0.55996,0.74069,0.70752,0.48852,1.0623,0.98965,1.91045,0.000580174,0.000580174,0.000580174
20,8160.59,1.00314,1.10276,1.66426,0.64781,0.75901,0.73598,0.52203,1.10537,0.97281,1.95124,0.000533017,0.000533017,0.000533017
21,8592.51,0.90812,0.84623,1.52119,0.49772,0.88374,0.737,0.49203,1.17735,1.00686,2.10079,0.00048586,0.00048586,0.00048586
22,9024.76,0.88651,0.79429,1.46979,0.6041,0.66477,0.71341,0.4586,1.23645,1.08671,2.15579,0.000438703,0.000438703,0.000438703
23,9459.07,0.86875,0.78436,1.47077,0.63334,0.83355,0.77633,0.53592,1.16771,0.97703,2.11383,0.000391546,0.000391546,0.000391546
24,9891.28,0.86511,0.78636,1.46548,0.63819,0.88089,0.7654,0.49935,1.15892,0.99668,2.0101,0.000344389,0.000344389,0.000344389
25,10322.8,0.84928,0.75832,1.44393,0.60437,0.76391,0.75443,0.49343,1.28172,0.98619,2.32174,0.000297232,0.000297232,0.000297232
26,10756.1,0.82369,0.72846,1.41725,0.57957,0.87649,0.7639,0.51117,1.15261,0.98424,2.10831,0.000250075,0.000250075,0.000250075
27,11187.3,0.83866,0.72462,1.43544,0.60289,0.83373,0.72171,0.48165,1.17042,1.01548,2.08898,0.000202918,0.000202918,0.000202918
28,11617.7,0.81896,0.70427,1.41465,0.5996,0.83893,0.73077,0.47114,1.2323,1.00688,2.24355,0.000155761,0.000155761,0.000155761
29,12051,0.81717,0.70636,1.40247,0.55573,0.84266,0.74526,0.49218,1.18138,1.00916,2.16307,0.000108604,0.000108604,0.000108604
30,12480.9,0.78875,0.68957,1.3881,0.63389,0.81142,0.74732,0.48987,1.17124,0.98756,2.14575,6.1447e-05,6.1447e-05,6.1447e-05
