epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.632,1.215,1.26519,1.921,0.51125,0.74538,0.64392,0.42347,1.213,1.1416,2.05599,0.000474235,0.000474235,0.000474235
2,577.495,1.2156,1.30939,1.89678,0.67392,0.68737,0.75573,0.41124,1.5101,1.16661,2.33807,0.0009192,0.0009192,0.0009192
3,851.259,1.22211,1.31057,1.90061,0.47247,0.64648,0.57881,0.31223,1.58056,1.31461,2.45067,0.00133273,0.00133273,0.00133273
4,1125.75,1.22418,1.35582,1.89881,0.65176,0.67726,0.6187,0.38685,1.18151,1.14087,2.01163,0.00128753,0.00128753,0.00128753
5,1396.6,1.20459,1.31284,1.88541,0.55837,0.857,0.68908,0.39123,1.48956,1.11934,2.26565,0.00124037,0.00124037,0.00124037
6,1669.61,1.18407,1.31326,1.87583,0.61142,0.7574,0.69119,0.39493,1.46411,1.11155,2.22734,0.00119322,0.00119322,0.00119322
7,1941.13,1.17058,1.27652,1.86335,0.54233,0.66159,0.59092,0.36385,1.28604,1.17299,2.14163,0.00114606,0.00114606,0.00114606
8,2213.19,1.17917,1.26354,1.85782,0.55911,0.78773,0.70637,0.37487,1.50919,1.21057,2.43346,0.0010989,0.0010989,0.0010989
9,2482.04,1.17024,1.27506,1.84508,0.5959,0.65178,0.66196,0.37684,1.45605,1.17767,2.38677,0.00105174,0.00105174,0.00105174
10,2755.76,1.14295,1.23231,1.82133,0.5912,0.83402,0.68982,0.37186,1.51579,1.15399,2.41836,0.00100459,0.00100459,0.00100459
11,3026.22,1.15123,1.24022,1.83153,0.56432,0.74407,0.66918,0.41776,1.28944,1.14358,2.1696,0.00095743,0.00095743,0.00095743
12,3300.09,1.13858,1.21575,1.82726,0.53959,0.73646,0.63759,0.41862,1.16668,1.1855,2.02086,0.000910273,0.000910273,0.000910273
13,3575.82,1.12591,1.19936,1.79795,0.55379,0.66121,0.61135,0.36683,1.35693,1.12689,2.15192,0.000863116,0.000863116,0.000863116
14,3852.17,1.11448,1.22055,1.80092,0.48692,0.83114,0.66964,0.41705,1.36675,1.10326,2.19706,0.000815959,0.000815959,0.000815959
15,4126.54,1.11356,1.20802,1.7834,0.56511,0.72185,0.67995,0.42753,1.3844,1.11333,2.2599,0.000768802,0.000768802,0.000768802
16,4401.15,1.09892,1.18749,1.77163,0.52012,0.75627,0.6821,0.42014,1.36483,1.11529,2.27224,0.000721645,0.000721645,0.000721645
17,4674.67,1.08717,1.17906,1.76245,0.49489,0.79532,0.59818,0.39205,1.19191,1.08043,2.04491,0.000674488,0.000674488,0.000674488
18,4950.51,1.0701,1.14311,1.74558,0.51917,0.82549,0.67635,0.42078,1.29422,1.0954,2.15486,0.000627331,0.000627331,0.000627331
19,5223.89,1.06853,1.14205,1.74567,0.51273,0.72568,0.6381,0.42569,1.14746,1.03252,2.00153,0.000580174,0.000580174,0.000580174
20,5499.42,1.05664,1.13133,1.72873,0.56266,0.71918,0.60172,0.39097,1.14212,1.08981,2.0153,0.000533017,0.000533017,0.000533017
21,5767.4,0.95252,0.87168,1.56561,0.6614,0.66929,0.70488,0.42403,1.29773,1.04967,2.2152,0.00048586,0.00048586,0.00048586
22,6037.22,0.92003,0.79924,1.5003,0.5732,0.75581,0.69653,0.38411,1.4634,1.11347,2.4698,0.000438703,0.000438703,0.000438703
23,6305.14,0.89534,0.79483,1.49383,0.68727,0.66496,0.69354,0.37559,1.62748,1.12842,2.8652,0.000391546,0.000391546,0.000391546
24,6576.5,0.87388,0.77216,1.47158,0.61706,0.5913,0.67712,0.40202,1.44375,1.10665,2.35634,0.000344389,0.000344389,0.000344389
25,6843.65,0.84768,0.7441,1.44579,0.70325,0.60036,0.74427,0.44977,1.46557,1.01518,2.43283,0.000297232,0.000297232,0.000297232
26,7115.45,0.83987,0.7256,1.4274,0.60155,0.69175,0.64946,0.394,1.35594,1.08006,2.35032,0.000250075,0.000250075,0.000250075
27,7383.68,0.83587,0.72269,1.42599,0.59818,0.76731,0.64339,0.36328,1.45744,1.08367,2.51785,0.000202918,0.000202918,0.000202918
28,7654.79,0.82212,0.70517,1.40545,0.65968,0.68534,0.67176,0.38547,1.50831,1.05316,2.58738,0.000155761,0.000155761,0.000155761
29,7922.11,0.81819,0.7025,1.39305,0.53518,0.73938,0.63908,0.38448,1.42037,1.09363,2.48766,0.000108604,0.000108604,0.000108604
30,8192.39,0.79332,0.67733,1.38504,0.61261,0.72967,0.63851,0.3738,1.47123,1.094,2.59421,6.1447e-05,6.1447e-05,6.1447e-05
