epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.731,1.52225,1.75722,2.08074,0.50855,0.55029,0.49954,0.30779,1.38996,1.37042,2.04536,0.000475096,0.000475096,0.000475096
2,1456.36,1.41066,1.64569,1.95824,0.49393,0.57698,0.50043,0.30174,1.39361,1.36633,2.01486,0.000920032,0.000920032,0.000920032
3,2193.51,1.39377,1.61177,1.93494,0.4862,0.57804,0.51747,0.32341,1.36343,1.29618,1.96702,0.00133353,0.00133353,0.00133353
4,2932.52,1.39182,1.59123,1.92783,0.43737,0.619,0.51769,0.33199,1.3369,1.33902,1.89829,0.00128753,0.00128753,0.00128753
5,3671.82,1.36539,1.58203,1.90965,0.53009,0.57659,0.53645,0.3308,1.26237,1.35256,1.85881,0.00124037,0.00124037,0.00124037
6,4409.92,1.34363,1.56171,1.87876,0.49396,0.56074,0.52914,0.30423,1.43646,1.32137,2.04261,0.00119322,0.00119322,0.00119322
7,5146.25,1.33998,1.52521,1.87612,0.54755,0.57776,0.56179,0.3332,1.4186,1.32557,2.03457,0.00114606,0.00114606,0.00114606
8,5882.85,1.32675,1.51555,1.86057,0.52231,0.60121,0.54082,0.34184,1.30567,1.25904,1.92314,0.0010989,0.0010989,0.0010989
9,6652.14,1.31475,1.50618,1.84951,0.49437,0.68947,0.55837,0.3599,1.22837,1.22397,1.84982,0.00105174,0.00105174,0.00105174
10,7396.53,1.29416,1.4751,1.82948,0.53468,0.63955,0.5824,0.34465,1.34707,1.2544,1.9513,0.00100459,0.00100459,0.00100459
11,8135.98,1.28717,1.45966,1.81953,0.5244,0.61077,0.58046,0.37295,1.19204,1.24632,1.8162,0.00095743,0.00095743,0.00095743
12,8872.43,1.26645,1.43555,1.80386,0.51471,0.68389,0.55786,0.36048,1.23192,1.18575,1.82202,0.000910273,0.000910273,0.000910273
13,9608.83,1.27172,1.43802,1.80858,0.45633,0.63191,0.55198,0.34366,1.32828,1.28796,1.92058,0.000863116,0.000863116,0.000863116
14,10351.2,1.259,1.40579,1.79,0.45937,0.71117,0.53879,0.33989,1.26632,1.25804,1.89149,0.000815959,0.000815959,0.000815959
15,11089.5,1.24498,1.37285,1.77187,0.52532,0.60018,0.57544,0.37029,1.21515,1.20666,1.84083,0.000768802,0.000768802,0.000768802
16,11852.4,1.22472,1.36842,1.76002,0.49178,0.64981,0.58742,0.37857,1.18998,1.14448,1.77584,0.000721645,0.000721645,0.000721645
17,12599.2,1.22513,1.35781,1.76018,0.54317,0.65939,0.62054,0.39072,1.2638,1.15138,1.91813,0.000674488,0.000674488,0.000674488
18,13340.7,1.22378,1.35608,1.75603,0.57451,0.59315,0.63416,0.39583,1.2256,1.1789,1.88119,0.000627331,0.000627331,0.000627331
19,14079.1,1.20812,1.33796,1.74331,0.52656,0.61762,0.60057,0.3776,1.17341,1.16054,1.76701,0.000580174,0.000580174,0.000580174
20,14818,1.1994,1.31551,1.73252,0.63375,0.59783,0.64801,0.41065,1.21101,1.10452,1.83079,0.000533017,0.000533017,0.000533017
21,15546.2,1.11003,1.1162,1.62789,0.60616,0.55211,0.63686,0.40563,1.23274,1.14406,1.82303,0.00048586,0.00048586,0.00048586
22,16273.6,1.08003,1.05502,1.5842,0.55533,0.63874,0.61886,0.40055,1.25301,1.13287,1.87299,0.000438703,0.000438703,0.000438703
23,17004.1,1.06513,1.05406,1.57128,0.52856,0.59194,0.59327,0.38854,1.20108,1.15585,1.81054,0.000391546,0.000391546,0.000391546
24,17742.1,1.05738,1.03414,1.56242,0.51067,0.70362,0.63438,0.42704,1.16801,1.1285,1.81567,0.000344389,0.000344389,0.000344389
25,18490.1,1.04506,1.01641,1.54936,0.53164,0.6745,0.62582,0.40261,1.20977,1.15348,1.86698,0.000297232,0.000297232,0.000297232
26,19235.2,1.02758,1.0033,1.52433,0.5623,0.64054,0.61161,0.39974,1.21738,1.12022,1.83987,0.000250075,0.000250075,0.000250075
27,19980.5,1.01783,0.98323,1.51715,0.56519,0.66122,0.59298,0.38602,1.25034,1.14566,1.87462,0.000202918,0.000202918,0.000202918
28,20732.7,1.01092,0.97455,1.511,0.55287,0.64673,0.58444,0.3844,1.22322,1.14146,1.84051,0.000155761,0.000155761,0.000155761
29,21476.7,1.00731,0.97418,1.50759,0.55442,0.63944,0.60824,0.39821,1.19305,1.12482,1.82164,0.000108604,0.000108604,0.000108604
30,22218.5,0.99666,0.95336,1.49414,0.56238,0.63221,0.60964,0.39462,1.19835,1.12821,1.8142,6.1447e-05,6.1447e-05,6.1447e-05
